libId,TOTAL_READS,PF_READS,PF_HQ_ALIGNED_READS,MEAN_READ_LENGTH,STRAND_BALANCE,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,MEDIAN_CV_COVERAGE,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,alignment_not_unique,PERCENT_DUPLICATION,mapped_reads_w_dups
lib1500_D26PLACXX,13626424,13626424,12082450,49.598142,0.499603,4859825,278280102,294840569,71512891,26330914,0.007191,0.411764,0.436268,0.105816,0.038961,0.848033,0.482873,14615330,13626427,93.20%,1543975,11.30%,1406893,612725,5730202,0.529474,0.932338
lib1503_D26PLACXX,11896239,11896239,9987583,49.571854,0.499955,2858250,263537484,275834524,25472875,21996605,0.004847,0.446901,0.467754,0.043196,0.037301,0.914656,0.509937,12551094,11896242,94.80%,1908657,16.00%,384881,598257,7307210,0.489384,0.947825
lib1504_D26PLACXX,10319922,10319922,8849397,49.568207,0.499594,3432415,216879396,243097508,30260382,17854439,0.00671,0.423987,0.475242,0.059157,0.034904,0.899229,0.537129,11056145,10319925,93.30%,1470526,14.20%,536726,521668,5337222,0.485678,0.933411
lib1505_D26PLACXX,11694360,11694360,9988123,49.594733,0.500452,3783522,241142847,287819981,27701110,19510779,0.006524,0.415794,0.496277,0.047764,0.033642,0.912071,0.555187,12483761,11694363,93.70%,1706238,14.60%,467456,620838,6185623,0.549464,0.936766
lib1513_D27JJACXX,10950443,10950443,9369305,49.695108,0.499989,3044625,242081924,248707566,29157429,21174075,0.005595,0.444868,0.457044,0.053582,0.038911,0.901912,0.504689,11550710,10950446,94.80%,1581139,14.40%,475606,573828,6182358,0.480489,0.948032
lib1516_D27JJACXX,12610265,12610265,10908511,49.738147,0.499366,6510354,261914650,294433443,40835862,23497568,0.01038,0.417599,0.469448,0.065109,0.037465,0.887047,0.537113,13550125,12610268,93.10%,1701755,13.50%,729637,612333,6349070,0.634825,0.930638
lib1517_D27JJACXX,12798489,12798489,10907552,49.719748,0.500605,2684204,291248348,277872682,33962213,30550141,0.004218,0.457709,0.436689,0.053373,0.048011,0.894398,0.487466,13721338,12798492,93.30%,1890938,14.80%,531962,585421,8166981,0.570849,0.932744
lib1519_D27JJACXX,11254842,11254842,9666314,49.705453,0.49932,9612262,194920070,273766280,52615462,28493222,0.017183,0.348441,0.489387,0.094056,0.050935,0.837828,0.581663,12066299,11254845,93.30%,1588529,14.10%,970322,545952,6422310,0.545736,0.93275
lib1521_D27JJACXX,11885266,11885266,10239390,49.707935,0.499713,4166261,242478394,283463467,37743259,22921192,0.007052,0.410443,0.479818,0.063888,0.038799,0.890262,0.533236,12688254,11885269,93.70%,1645877,13.80%,646201,617567,6349447,0.529905,0.936714
lib1522_D27JJACXX,11433136,11433136,9875952,49.724853,0.50002,4863896,230673887,268505833,40515777,23932911,0.008556,0.405765,0.472313,0.071269,0.042099,0.878077,0.52986,12239904,11433139,93.40%,1557185,13.60%,715269,565626,6159921,0.531275,0.934087
lib1532_D1G9TACXX,12216371,12216371,10979639,48.717535,0.500038,4203624,276652559,239831563,55622311,18829330,0.007063,0.464854,0.402984,0.093461,0.031639,0.867838,0.431447,13084431,12216374,93.40%,1236733,10.10%,1126174,608997,4346604,0.407227,0.933657
lib1538_D1G9TACXX,11609160,11609160,10082237,48.718379,0.500748,2266661,284096543,234050734,28643734,16509447,0.004008,0.502322,0.413834,0.050646,0.029191,0.916155,0.473585,12291504,11609163,94.40%,1526924,13.20%,513799,603112,5470079,0.448258,0.944487
lib1541_D1G9TACXX,11443464,11443464,10219497,48.701561,0.500905,4604140,259901273,220377412,53580548,18839322,0.008261,0.466356,0.395436,0.096143,0.033804,0.861792,0.432414,12210476,11443467,93.70%,1223968,10.70%,1067351,545801,4429921,0.403158,0.937184
lib1544_D1G9TACXX,10737206,10737206,9578925,48.702573,0.500603,4138858,241920606,200595656,55972457,20292365,0.007915,0.462635,0.383608,0.107039,0.038806,0.846243,0.42718,11499712,10737209,93.40%,1158282,10.80%,1106130,508365,4524333,0.400019,0.933693
lib1546_D1G9TACXX,12585589,12585589,11058140,48.733709,0.500246,8178580,285491163,242244174,54540156,22876040,0.013335,0.465478,0.394966,0.088925,0.037298,0.860443,0.437686,13473368,12585592,93.40%,1527450,12.10%,1043530,591879,5804571,0.457755,0.934109
lib1550_D1G9TACXX,10319046,10319046,9040619,48.725011,0.500709,1476045,253291300,199943717,30257963,17816843,0.002936,0.503776,0.397672,0.060181,0.035436,0.901448,0.458964,11023551,10319049,93.60%,1278428,12.40%,555288,526360,4997538,0.42099,0.936091
lib1552_D1G9TACXX,10859451,10859451,9430703,48.725203,0.500877,2319087,262918503,215037163,30704289,18139216,0.004383,0.496899,0.406407,0.058029,0.034282,0.903306,0.447713,11670062,10859454,93.10%,1428749,13.20%,560446,554381,5429038,0.43542,0.930539
